Lower_Age,Upper_Age,Gender,Zip_Code,Education,Employment
30,39,M/F,77***,Bachelors,State-gov
30,39,M/F,215***,HS-grad,Private
30,39,M/F,141***,Bachelors,State-gov
30,39,M/F,280***,Some-college,Private
30,39,M/F,28***,11th,Private
30,39,M/F,367***,HS-grad,Private
30,39,M/F,84***,Some-college,Private
30,39,M/F,155***,HS-grad,Private
30,39,M/F,286***,Some-college,Private
30,39,M/F,249***,HS-grad,Federal-gov
30,39,M/F,189***,HS-grad,Local-gov
30,39,M/F,194***,11th,Private
30,39,M/F,114***,Assoc-acdm,Private
30,39,M/F,125***,Masters,Federal-gov
30,39,M/F,185***,HS-grad,Private
30,39,M/F,633***,Some-college,Private
30,39,M/F,155***,Some-college,Private
30,39,M/F,138***,Masters,Private
30,39,M/F,36***,HS-grad,Private
30,39,M/F,182***,Bachelors,Private
30,39,M/F,179***,Some-college,Private
30,39,M/F,70***,HS-grad,Private
30,39,M/F,200***,Bachelors,Private
30,39,M/F,157***,Masters,?
30,39,M/F,193***,Assoc-acdm,Private
30,39,M/F,169***,HS-grad,Private
30,39,M/F,111***,Bachelors,Private
30,39,M/F,296***,Assoc-voc,Private
30,39,M/F,85***,HS-grad,Private
30,39,M/F,119***,HS-grad,State-gov
30,39,M/F,142***,Masters,Private
30,39,M/F,348***,10th,Private
30,39,M/F,481***,HS-grad,Private
30,39,M/F,172***,HS-grad,Private
30,39,M/F,1033***,Some-college,State-gov
30,39,M/F,92***,12th,Private
30,39,M/F,228***,10th,Private
30,39,M/F,243***,11th,Local-gov
30,39,M/F,115***,Some-college,?
30,39,M/F,118***,Bachelors,Private
30,39,M/F,337***,Some-college,Private
30,39,M/F,41***,Bachelors,Self-emp-inc
30,39,M/F,197***,HS-grad,Private
30,39,M/F,237***,Some-college,Private
30,39,M/F,27***,HS-grad,Self-emp-not-inc
30,39,M/F,152***,11th,Private
30,39,M/F,148***,HS-grad,Private
30,39,M/F,28***,Assoc-acdm,Self-emp-not-inc
30,39,M/F,194***,Assoc-acdm,Self-emp-not-inc
30,39,M/F,55***,Some-college,Private
30,39,M/F,169***,Bachelors,State-gov
30,39,M/F,106***,HS-grad,Private
30,39,M/F,261***,Masters,Private
30,39,M/F,136***,HS-grad,Private
30,39,M/F,80***,Some-college,Self-emp-not-inc
30,39,M/F,70***,Some-college,Private
30,39,M/F,271***,Bachelors,Private
30,39,M/F,182***,HS-grad,Private
30,39,M/F,267***,Some-college,Private
30,39,M/F,51***,Some-college,Private
30,39,M/F,120***,Bachelors,Local-gov
30,39,M/F,283***,10th,Private
30,39,M/F,301***,Some-college,State-gov
30,39,M/F,191***,HS-grad,Private
30,39,M/F,86***,Bachelors,Private
30,39,M/F,258***,Some-college,Private
30,39,M/F,166***,HS-grad,Local-gov
30,39,M/F,111***,HS-grad,Private
30,39,M/F,80***,HS-grad,Private
30,39,M/F,95***,Bachelors,Private
30,39,M/F,138***,Bachelors,Private
30,39,M/F,183***,Bachelors,Private
30,39,M/F,372***,Bachelors,Self-emp-not-inc
30,39,M/F,168***,HS-grad,Self-emp-not-inc
30,39,M/F,373***,1st-4th,Private
30,39,M/F,465***,HS-grad,Private
30,39,M/F,108***,Bachelors,Self-emp-inc
30,39,M/F,526***,10th,Private
30,39,M/F,200***,HS-grad,Private
30,39,M/F,329***,Bachelors,Self-emp-inc
