Age,Gender,Zip_Code,Education,Employment
(30 - 39),M/F,77***,Bachelors,State-gov
(30 - 39),M/F,141***,Bachelors,State-gov
(20 - 49),M/F,267***,Bachelors,State-gov
(20 - 39),M/F,149***,Bachelors,State-gov
(30 - 59),M/F,98***,Bachelors,State-gov
(50 - 79),M/F,288***,Bachelors,State-gov
(30 - 59),M/F,92***,Bachelors,State-gov
(20 - 29),M/F,70***,Bachelors,State-gov
(30 - 39),M/F,169***,Bachelors,State-gov
(20 - 29),M/F,335***,Bachelors,State-gov
(40 - 69),M/F,260***,Bachelors,State-gov
(40 - 49),M/F,193***,Bachelors,State-gov
(20 - 39),M/F,356***,Bachelors,State-gov
